News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"Chicago is ""the city with the strongest gun laws in our nation.""",Donald Trump,"November 7, 2017",a press c,Jon Greenberg,"November 7, 2017",pants-fire
"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",Markwayne Mullin,"November 3, 2017",a post,Jon Greenberg,"November 7, 2017",TRUE
"""There are no background checks on long guns (AR15s) in Texas.""",Alyssa Milano,"November 5, 2017",a tweet:,Miriam Valverde,"November 6, 2017",FALSE
"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,YourNewsWire.com,"November 5, 2017",an Internet post:,Joshua Gillin,"November 6, 2017",pants-fire
"Under the House Republican tax proposal, ""the average family of four earning median income ($59,000/year) will receive an additional $1,182 in their pocket every year.""",Drew Ferguson,"November 5, 2017",an email to a c,Louis Jacobson,"November 6, 2017",half-true
"Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""",Patrick Morrisey,"October 12, 2017",a radio,Manuela Tobias,"November 6, 2017",FALSE
"Says ""FBI and Texas State Police are both confirming that Raymond Peter Littleberry, the man accused of shooting up a Texas church, was an avid atheist on the payroll of the Democrat National Committee.""",FreedomJunkshun.com,"November 6, 2017",a blog post:,John Kruzel,"November 6, 2017",pants-fire
"The diversity visa lottery is ""plagued by fraud.""",David Perdue,"November 1, 2017",a tweet:,Miriam Valverde,"November 6, 2017",TRUE
"Charles Francis ""vows to slash funding for parks and open space.""",Nancy McFarlane,"November 6, 2017",,Paul Specht,"November 6, 2017",FALSE
"""Eight in 10 people this year can find plans for $75 a month or less.""",Barack Obama,"November 1, 2017",a video:,Manuela Tobias,"November 6, 2017",half-true
"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal.""",Donald Trump,"October 31, 2017",a tweet:,Jon Greenberg,"November 6, 2017",TRUE
"Says Florida ""workers are paid $8.10 an hour, and our current governor (Rick Scott) runs ads bragging about it.""",Philip Levine,"November 1, 2017",a speech :,Allison Graves,"November 6, 2017",FALSE
"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",The Creative Resistance,"October 24, 2017",a video:,Dan Clark,"November 5, 2017",TRUE
"""Liberals in County Hall want our community to be a sanctuary county""",New York Republican State Committee,"November 1, 2017",a political mailer:,Dan Clark,"November 3, 2017",pants-fire
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,"October 23, 2017",a televisi,Dan Clark,"November 3, 2017",TRUE
"""With this plan, the typical family of four will save $1,182 a year on their taxes.""",Paul Ryan,"November 3, 2017",a speech:,Louis Jacobson,"November 3, 2017",half-true
"""Part of this omnibus gun bill that year (was) legalizing machine guns in the state of Missouri.""",Stacey Newman,"October 2, 2017",a Missour,Emily Sanderson,"November 3, 2017",half-true
"Says special counsel Robert Mueller ""has brought in Democrat campaign donors at a very high level"" on his team of lawyers.",Sean Duffy,"November 30, 2017",an,Tom Kertscher,"November 3, 2017",half-true
"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,"October 24, 2017",a campaign ad:,Matt Dietrich,"November 3, 2017",TRUE
"Says Jake Tapper said Allahu Akbar was a ""beautiful phrase"" after a terrorist attack in New York.",Sebastian Gorka,"November 1, 2017",an appearance,Joshua Gillin,"November 2, 2017",pants-fire
Says diversity visa immigrants are not vetted.,Sarah  Huckabee Sanders,"November 1, 2017",a White House press brief,Miriam Valverde,"November 2, 2017",FALSE
"""We are spending more on affordable housing than we're spending on Dix Park right now.""",Nancy McFarlane,"October 20, 2017",,Paul Specht,"November 2, 2017",TRUE
"""Under Gov. (Rick) Scott’s leadership, Florida has had much success in lowering the rate of uninsured children.""",Florida Agency for Health Care Administration,"October 25, 2017",a news release:,Allison Graves,"November 2, 2017",half-true
"""California Democrat Maxine Waters charged on 3 counts.""",Bloggers,"October 6, 2017",Internet posts:,Joshua Gillin,"November 2, 2017",FALSE
"""It costs nearly five times as much in California to build and maintain a mile of road as it does in the rest of the nation.""",John Cox,"October 19, 2017",a San Francisco Chr,Chris Nichols,"November 1, 2017",FALSE
"""Alabama’s Crimson Tide was disqualified from national championship.""",BreakingNews247.net,"October 31, 2017",a headl,Emily Tanaka,"November 1, 2017",pants-fire
"Says actor Morgan Freeman said, ""Jailing Hillary"" is the best way to ""restore public faith in government.""",Bloggers,"October 29, 2017",Internet posts:,Joshua Gillin,"November 1, 2017",pants-fire
"Says the diversity visa lottery program is ""a Chuck Schumer beauty.""",Donald Trump,"November 1, 2017",a tweet:,Louis Jacobson,"November 1, 2017",FALSE
"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership.",New Leadership PAC,"October 19, 2017",a press release:,W. Gardner Selby,"November 1, 2017",TRUE
"""Tammy Baldwin voted for $5 trillion in higher taxes.""",Freedom Partners,"October 26, 2017",TV ads:,Tom Kertscher,"November 1, 2017",half-true
"Says HIV and AIDS rates have spiked ""due to increased heroin and fentanyl use.""",Edward  Markey,"October 26, 2017",a statement:,Miriam Valverde,"October 31, 2017",FALSE
"""Hillary Clinton leaves the country as Mueller indictment is announced.""",FreedomJunkshun.com,"October 28, 2017",a headl,Joshua Gillin,"October 31, 2017",pants-fire
"""Breitbart leaks names of four Dems being charged in Mueller’s Russia probe.""",FreedomJunkshun.com,"October 27, 2017",a headl,Joshua Gillin,"October 31, 2017",pants-fire
"""For the last 10 years, our economy has grown at less than 2 percent on average every single year for 10 years. We have not had a decade like that in a century in America.""",James Lankford,"October 22, 2017",an,Jon Greenberg,"October 31, 2017",half-true
"The University of Missouri saw ""the biggest drop in enrollment of any major university in the country"" since the 2015 protests.",Eric  Greitens,"August 23, 2017",a Facebook live video:,Tateanna McCaskill,"October 30, 2017",FALSE
"""The six wealthiest people in the world (have) as much wealth as the bottom half of the world’s population, 3.7 billion people.""",Bernie Sanders,"September 21, 2017",a speech at Westm,Emma Diltz,"October 30, 2017",TRUE
"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",Donald Trump,"October 30, 2017",a tweet:,Jon Greenberg,"October 30, 2017",FALSE
"Says Patrick Morrisey ""ran for Congress in NJ as pro-choice.""",Evan Jenkins,"October 23, 2017",a tweet:,Manuela Tobias,"October 30, 2017",FALSE
"""Jeff Flake’s office leaks names of those charged in Mueller’s Russian probe.""",Bloggers,"October 30, 2017",a blog post:,Aaron Sharockman,"October 30, 2017",pants-fire
"""Ninety percent of people born in the 1940s ended up doing better financially than their parents. But those born in the 1980s, the much-maligned Millennials, have only a 50-50 chance of doing better (financially) than their parents, despite being the best-educated generation in our history.""",Delaine Eastin,"October 11, 2017",an op-ed:,Chris Nichols,"October 27, 2017",TRUE
"Says West Virginia is ""down to around 50 percent of the adult workers who are actually working now because of addiction or conviction.""",Joe Manchin,"October 22, 2017",An MSNBC,Allison Colburn,"October 27, 2017",half-true
"What Republicans call the ""death tax"" is the estate tax ""on the ultra wealthy"" which, in 2016, was paid by only ""two out of every 1,000 people.""",Mark Pocan,"October 18, 2017",an,Tom Kertscher,"October 27, 2017",TRUE
"""To be clear, all my investments are in a trust that I don’t control.""",Bruce Rauner,"October 20, 2017",a press c,Matt Dietrich,"October 27, 2017",half-true
"""Less than half of Texans ages 18-24 are registered to vote.""",Charlie Geren,"September 18, 2017",a tweet:,Jasper Scherer,"October 26, 2017",half-true
"""We have done more in eight months than the previous administration has done in many years"" against ISIS.",Donald Trump,"October 25, 2017",a news c,Jon Greenberg,"October 26, 2017",half-true
"Says Roy Moore ""has advocated getting the federal government out of health care altogether, which means doing away with Medicaid, which means doing away with Medicare.""",Doug Jones,"September 27, 2017",an,John Kruzel,"October 26, 2017",FALSE
"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",Donald Trump,"October 25, 2017",a tweet:,Louis Jacobson,"October 26, 2017",FALSE
"""Youngest world leader bans George Soros’s Foundations from Austria.""",Bloggers,"October 19, 2017",a fake news post:,Tyler Adkisson,"October 26, 2017",pants-fire
"""The Travis County propositions will not raise your taxes! If you are 65 or older, your property taxes are frozen.""",Travis Forward,"October 23, 2017",a mailer advocat,W. Gardner Selby,"October 25, 2017",FALSE
"""People who die from a home invasion make up a sad but minuscule .04% of all gun murders in the U.S. And over a third of them are killed by their own gun that the criminal has either stolen or wrestled from them.""",Michael Moore,"October 4, 2017",a Facebook post:,Joshua Gillin,"October 25, 2017",FALSE
"""There are parks in Southeast Raleigh that still don’t have air conditioning in the gym""",Charles Francis,"October 20, 2017",,Paul Specht,"October 25, 2017",TRUE
On NFL players protesting during the national anthem.,Scott Walker,"October 24, 2017",news release:,Tom Kertscher,"October 25, 2017",half-flip
"Abortion in the U.S. ""is at an all time legal low.""",Kevin Cahill,"October 11, 2017",a radio,Dan Clark,"October 25, 2017",half-true
"Says ""46 percent of people believe major national news organizations fabricate stories about me.""",Donald Trump,"October 22, 2017",a tweet:,Jon Greenberg,"October 24, 2017",half-true
"""The city (of St. Louis) is no stranger to violence. There were 5,762 violent crimes in 2015 alone, including 188 homicides. The highest rate per capita in the country, according to FBI crime statistics.""",Pete Hegseth,"September 17, 2017",a Fox News segment:,Emily McCarter,"October 24, 2017",TRUE
"Insurance companies ""have made a fortune with Obamacare.""",Donald Trump,"October 18, 2017",a tweet:,Jon Greenberg,"October 23, 2017",FALSE
"""Opioid crisis (is) the worst in ObamaCare expansion states!""",Matt Gaetz,"October 17, 2017",a tweet:,Allison Graves,"October 23, 2017",FALSE
Sarah Huckabee Sanders dressed up as KKK member on Halloween in 1993.,Bloggers,"October 22, 2017",a Facebook post:,Manuela Tobias,"October 23, 2017",pants-fire
"Says Tampa Bay Lightning hockey player J.T. Brown was ""fired after raising fist during national anthem.""",Bloggers,"October 10, 2017",a fake news website:,Jon Greenberg,"October 23, 2017",pants-fire
"""Tulsa school closes after brutal fire.""",React365.com,"October 23, 2017",a headl,Joshua Gillin,"October 23, 2017",pants-fire
"""The KKK was founded as the military arm of the Democratic Party.""",Dane County Republican Party,"August 25, 2017",a news release:,D.L. Davis,"October 23, 2017",FALSE
"""Seventy-three percent of our veterans are graduating from drug courts. By contrast, I think most of the people in the very good drug court program — the graduation rate’s like 53, 55 percent. The point of that is that drug courts are working for veterans.""",Eric  Greitens,"August 13, 2017",a Facebook live video:,Emily Sanderson,"October 21, 2017",TRUE
"""Women in our state will continue to have cost-free access to reproductive health care""",Andrew Cuomo,"October 6, 2017",a statement:,Dan Clark,"October 21, 2017",TRUE
On preserving 60-vote threshold to end a Senate filibuster.,Ted Cruz,"September 30, 2017",remarks before the NE Tarrant Tea Party group:,W. Gardner Selby,"October 20, 2017",full-flop
"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",Nancy Pelosi,"October 12, 2017",a tweet:,Louis Jacobson,"October 20, 2017",TRUE
"At a 2015 dedication of an FBI building in Florida, Rep. Frederica Wilson ""stood up there ... and talked about how she was instrumental in getting the funding for that building, and how she took care of her constituents because she got the money, and she just called up President Obama, and on that phone call he gave the money -- the $20 million -- to build the building. And she sat down.""",John Kelly,"October 19, 2017",a White House brief,Louis Jacobson,"October 20, 2017",FALSE
"Says ""80 percent of the tax breaks in"" President Donald Trump’s tax-cut ""proposal go to the top 1 percent, that is, people making more than $730,000 a year.""",Lloyd  Doggett,"September 30, 2017",House floor remarks:,W. Gardner Selby,"October 20, 2017",half-true
"""The Alamo has been consistently listed as one of the most disappointing landmarks in our nation.""",George P. Bush,"October 16, 2017","the ""Alamo Truth"" website funded by George P. Bush's political campaign:",W. Gardner Selby,"October 20, 2017",half-true
"An undocumented immigrant ""was arrested on suspicion of arson in (the) Wine Country fires that have killed at least 40 residents.""",Breitbart,"October 17, 2017",a news article:,Chris Nichols,"October 20, 2017",FALSE
"In 2016, there were 5,570 people in Wisconsin ""who committed crimes on probation and they were not revoked.""",Leah Vukmir,"October 12, 2017",an,Tom Kertscher,"October 20, 2017",half-true
"""And over the last six years, Chicago’s economy has grown faster than the economies of New York City, Washington, D.C., or the national average.""",Rahm Emanuel,"October 18, 2017",a speech:,Matt Dietrich,"October 20, 2017",FALSE
"NFL players taking a knee during the national anthem is ""against the law.""",Roy Moore,"October 16, 2017",,John Kruzel,"October 19, 2017",FALSE
"In the U.S. asylum system, ""claims of 'fear to return' have skyrocketed, and the percentage of claims that are genuinely meritorious are down.""",Jeff Sessions,"October 12, 2017",a speech:,Miriam Valverde,"October 19, 2017",half-true
"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran.""",Nikki Haley,"October 15, 2017",comments,Allison Colburn,"October 19, 2017",FALSE
"""The child tax credit, if we don't do it, there will be no tax relief for working families. How much tax relief working families get under tax reform is entirely dependent on whether or not we put in place an increase to the child tax credit.""",Marco Rubio,"October 15, 2017",an,Allison Graves,"October 19, 2017",TRUE
"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",Antonio  Villaraigosa,"July 31, 2017",an,Chris Nichols,"October 18, 2017",TRUE
"Says she debated her opponent ""multiple times.""",Nancy McFarlane,"October 16, 2017",,Paul Specht,"October 18, 2017",half-true
"""We're the highest developed nation taxed in the world.""",Donald Trump,"October 17, 2017",an,Jon Greenberg,"October 18, 2017",FALSE
"""The cost-sharing reductions (were) a gift (that) they gave the insurance companies.""",Donald Trump,"October 16, 2017",a White House cab,Jon Greenberg,"October 18, 2017",FALSE
"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ‘wiping out all of those Florida hillbillies’.""",AsAmericanAsApplePie.org,"October 16, 2017",a headl,Joshua Gillin,"October 18, 2017",pants-fire
"""Job creation fell by 70 percent in Wisconsin in 2016"" under Scott Walker.",Tony Evers,"October 4, 2017",a video:,Tom Kertscher,"October 18, 2017",TRUE
"""San Juan city council votes unanimously to impeach Trump-hating mayor.""",AsAmericanAsApplePie.org,"October 15, 2017",a headl,Joshua Gillin,"October 17, 2017",pants-fire
"Says Stacey Evans ""voted for (school) vouchers...in the beginning.""",Stacey Abrams,"October 2, 2017",a public forum:,Emily Tanaka,"October 17, 2017",half-true
"""State government spending is at an all-time high. The state is on track to spend more in this fiscal year — more than $17.9 billion — than at any time in state history.""",Oklahoma Council of Public Affairs,"October 5, 2017",an op-ed,Jon Greenberg,"October 17, 2017",FALSE
"""Our tax code has nearly doubled since 1985.""",Roy Blunt,"September 8, 2017",a tweet:,Katelyn Brown,"October 17, 2017",TRUE
"""The president early on called on NATO member countries to step up their contributions ... and as a result of that countries have stepped up contributions toward their own defense.""",Rex Tillerson,"October 15, 2017","a CNN ""State of the Uni",Allison Graves,"October 15, 2017",half-true
"Says he got ""support all over Raleigh""",Charles Francis,"October 11, 2017",,Paul Specht,"October 13, 2017",half-true
"""There is a real law in Texas that says it’s illegal to own more than six dildos.""",Colin Jost,"October 7, 2017",a Weekend Update report,W. Gardner Selby,"October 13, 2017",TRUE
"""A California health care CEO is promising to reduce our prescription drug costs.""",Ohioans Against Deceptive Rx Ballot Issue,"May 23, 2017",a campaign ad:,Manuela Tobias,"October 13, 2017",FALSE
"An Ohio ballot issue would address the fact that ""we’ve gone from paying about $100 for Epipens to over $600 ... We don’t have a choice but to pay it and the drug companies know it.""",Ohio Taxpayers for Lower Drug Prices,"August 29, 2017",a campaign video:,Manuela Tobias,"October 13, 2017",FALSE
"The Republican tax reform proposal is focused on tax breaks for the middle class ""and not about people who are really high-income earners getting a tax break.""",Paul Ryan,"September 27, 2017",an,Tom Kertscher,"October 13, 2017",FALSE
"The NFL is ""getting massive tax breaks.""",Donald Trump,"October 10, 2017",a tweet:,Manuela Tobias,"October 12, 2017",TRUE
"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt.""",Donald Trump,"October 11, 2017",an,Louis Jacobson,"October 12, 2017",FALSE
"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",Casey Cagle,"October 9, 2017",a WSB-TV,Miriam Valverde,"October 12, 2017",FALSE
"A viral image shows LeBron James wearing a T-shirt that reads, ""We march, y’all mad. We sit down, y’all mad. We speak up, y’all mad. We die, y’all silent.""",Viral image,"October 9, 2017",Internet posts:,Joshua Gillin,"October 12, 2017",FALSE
"Says a proposed $1.05 billion Austin school district bond proposition ""will require no tax rate increase.""",Committee of Austin's Children PAC,"September 24, 2017",a handout,W. Gardner Selby,"October 12, 2017",TRUE
"""Bob Corker gave us the Iran Deal.""",Donald Trump,"October 8, 2017",a tweet:,John Kruzel,"October 12, 2017",FALSE
"""One in 10 babies born in this country is born in Texas.""",Joyce Mauk,"October 3, 2017",an Aust,W. Gardner Selby,"October 12, 2017",TRUE
"""Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.""",Andrew Gillum,"September 29, 2017",a post,Allison Graves,"October 12, 2017",FALSE
"""Background checks have been unequivocally shown to reduce gun violence.""",Seth Moulton,"October 8, 2017",,John Kruzel,"October 11, 2017",half-true
"""Grandparents must pickup up all their grandchildren every weekend no matter what or they will be fined $5,000.""",Bloggers,"October 11, 2017",a web post :,Sophie Kaplan,"October 11, 2017",pants-fire
"""Loopholes in current law prevent ‘Unaccompanied Alien Children’ (UACs) that arrive in the country illegally from being removed.""",Donald Trump,"October 8, 2017",a document:,Miriam Valverde,"October 11, 2017",FALSE
"""President Trump signs executive order stripping NFL of ‘non-profit’ status.""",Bloggers,"October 9, 2017",a headl,Joshua Gillin,"October 10, 2017",pants-fire
"""Jason Aldean gig canceled after he sells out to liberals on ‘SNL’.""",AsAmericanAsApplePie.org,"October 8, 2017",a headl,Joshua Gillin,"October 10, 2017",pants-fire
"""There have been more than 270 mass shootings in the United States in the last year alone. That’s where four or more are killed.""",Hillary Clinton,"October 9, 2017",a speech at the University of California at Davis:,Chris Nichols,"October 10, 2017",FALSE
"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",Bruce Rauner,"September 28, 2017",a press c,Matt Dietrich,"October 10, 2017",TRUE
"Says Winston Churchill said, ""A lie gets halfway around the world before the truth has a chance to get its pants on.""",Colin Kaepernick,"October 8, 2017",a tweet:,Joshua Gillin,"October 9, 2017",FALSE
"Trump’s tax plan is ""completely focused on the wealthy and the powerful - not the middle class.""",Charles Schumer,"October 1, 2017",an,Dan Clark,"October 8, 2017",FALSE
"Says Sen. Dianne Feinstein said ""if she had 51 votes in the Senate for 'Mr. and Ms. America, turn in all of your guns,' they would do it.""",Chris Cox,"October 8, 2017","a ""Fox News Sunday""",Jon Greenberg,"October 8, 2017",FALSE
"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",National Rifle Association,"October 5, 2017",a press release:,Manuela Tobias,"October 6, 2017",TRUE
"""The Republicans are proposing to pay for their giant tax cut to the rich by gutting Medicare and Medicaid.""",Charles Schumer,"October 4, 2017",a Senate floor speech:,Louis Jacobson,"October 6, 2017",half-true
"In Wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",Chris Taylor,"October 4, 2017",a news c,Tom Kertscher,"October 6, 2017",TRUE
"""White men have committed more mass shootings than any other group.""",Newsweek,"October 2, 2017",an article:,John Kruzel,"October 6, 2017",TRUE
"""It's time to remove any statue of Margaret Sanger who was a white suprematist (sic), spoke at kkk events & supported by democrats. #prolife""",Andrew Koenig,"August 18, 2017",a tweet:,Katie Parkins,"October 5, 2017",FALSE
"North Carolina has ""the strictest anti-gerrymandering standards in the entire country.""",Phil Berger,"September 15, 2017",In a press release:,Paul Specht,"October 5, 2017",FALSE
"Says the Dickey Amendment ""prevents the Centers for Disease Control and Prevention from even researching the relationship between gun violence and public health. ... The government can’t study gun violence but is spending $400,000 analyzing the effects of Swedish massages on rabbits.""",Steve Israel,"October 2, 2017",an op-ed,Jon Greenberg,"October 5, 2017",TRUE
"""In 2017, I've done 17 town halls.""",Ted Cruz,"September 24, 2017",an,W. Gardner Selby,"October 4, 2017",half-true
"""Celine Dion’s 16-year-old Rene-Charles Angelil’s was among the 58 victims who were killed"" in Las Vegas.",HoustonChronicle-tv.com,"October 4, 2017",a web post:,Sophie Kaplan,"October 4, 2017",pants-fire
On whether higher federal deficits are acceptable.,Mick Mulvaney,"October 1, 2017",an,Louis Jacobson,"October 4, 2017",full-flop
"Says that under the Obamacare law, health insurance ""premiums have increased by more than 105 percent since"" 2013.",John Cornyn,"September 22, 2017",a letter to a c,W. Gardner Selby,"October 4, 2017",TRUE
"The Las Vegas shooting was the ""273rd mass shooting"" in the United States so far in 2017.",Tammy Baldwin,"October 3, 2017",a news release:,Tom Kertscher,"October 4, 2017",half-true
"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",Hillary Clinton,"October 2, 2017",a tweet:,Manuela Tobias,"October 4, 2017",FALSE
"Bryan County, Ga., has ""corrupted voter rolls.""",Public Interest Legal Foundation,"September 25, 2017",a press release:,Jon Greenberg,"October 4, 2017",FALSE
"""Black Americans still earn less than 73 percent of what white men make.""",Andy Gronik,"August 27, 2017",an email:,Eric Litke,"October 4, 2017",half-true
"Says ""the Kardashians donate whopping sum to Las Vegas mass shooting victims""",HoustonChronicle-tv.com,"October 3, 2017",a blog post:,Miriam Valverde,"October 3, 2017",pants-fire
A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,Bloggers,"October 2, 2017",a fake news post:,Emily Tanaka,"October 3, 2017",pants-fire
"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",Sarah  Huckabee Sanders,"October 2, 2017",a press c,Matt Dietrich,"October 3, 2017",pants-fire
"""San Juan Teamsters didn't show up for work to distribute relief supplies"" because they went on strike.",Bloggers,"September 30, 2017",blog posts:,Joshua Gillin,"October 3, 2017",pants-fire
"""Las Vegas shooting witnesses report multiple gunmen dressed as security guards.""",Bloggers,"October 3, 2017",a blog post:,Aaron Sharockman,"October 3, 2017",pants-fire
"90 percent of Americans ""support universal background checks"" for gun purchases.",Chris Abele,"October 2, 2017",a tweet:,Tom Kertscher,"October 3, 2017",TRUE
"In the Alabama Senate runoff, ""the candidate I endorsed (Luther Strange) went up MANY points after endorsement!""",Donald Trump,"September 30, 2017",a tweet:,Louis Jacobson,"October 2, 2017",FALSE
Said there is cholera in Puerto Rico after Hurricane Maria.,Paul Krugman,"September 30, 2017",a tweet:,Jon Greenberg,"October 2, 2017",FALSE
"""The First Amendment’s the First Amendment. It goes start to finish. We can’t say to one football coach you’re fired if you kneel in silent prayer at the end of the game, but to a player, if you kneel in protest to a game, you’re celebrated.""",James Lankford,"September 25, 2017",a press c,Manuela Tobias,"October 2, 2017",half-true
"""The soda tax can make a difference by reducing consumption of unhealthy soda pop and sugary beverages.""",Michael Bloomberg,"September 18, 2017",a website:,Matt Dietrich,"October 2, 2017",TRUE
"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",Eric Schneiderman,"September 19, 2017",an announcement:,Dan Clark,"October 2, 2017",TRUE
"California Lt. Gov. Gavin Newsom was ""for (high-speed rail), before he’s against it, and then he’s for it again.""",Antonio  Villaraigosa,"September 20, 2017",a newspaper article:,Chris Nichols,"September 29, 2017",TRUE
Says a photograph shows Seattle Seahawks player Michael Bennett burning the United States flag.,Vets for Trump,"September 28, 2017",a Facebook post:,Joshua Gillin,"September 29, 2017",pants-fire
"""The average tax bill for Americans in 2016 was a 41 percent increase from 2013.""",Lamar Smith,"September 18, 2017",a letter to a c,Louis Jacobson,"September 29, 2017",half-true
"While Mayor Rick Kriseman said he would dip into reserves this year because of Hurricane Irma, he ""went into the emergency reserves before Irma ever hit.""",Rick Baker,"September 26, 2017",a comment dur,Allison Graves,"September 29, 2017",TRUE
"""California, New York and Massachusetts, they represent about 20 percent of the population, they get close to 36 percent of Obamacare funding. It's just simply inequitable.""",Ron Johnson,"September 25, 2017",an,Tom Kertscher,"September 29, 2017",FALSE
"New York has ""the biggest outmigration of citizens of any state.""",Edward Cox,"September 19, 2017",a c,Dan Clark,"September 29, 2017",TRUE
"""We’re the only developed nation in the world that doesn’t have paid maternity leave.""",Claire McCaskill,"August 22, 2017",a town hall,Emily McCarter,"September 28, 2017",TRUE
"Says ""No, I don't benefit, I don't benefit"" from his tax proposal.",Donald Trump,"September 27, 2017",an,Louis Jacobson,"September 28, 2017",FALSE
"""Human meat found in McDonald’s meat factory""",Bloggers,"August 3, 2017",a web post:,Emily Tanaka,"September 28, 2017",pants-fire
"Ending the estate tax would ""protect millions of small businesses and the American farmer.""",Donald Trump,"September 27, 2017",a speech,Louis Jacobson,"September 28, 2017",pants-fire
"""We have one senator who’s a ‘yes’ vote ... but he’s in the hospital. And he’s a ‘yes’ vote. So we can’t do it by Friday. So we have the votes"" to pass a health care bill.",Donald Trump,"September 27, 2017",an,John Kruzel,"September 28, 2017",FALSE
"""The current city mayor (Kasim Reed) has been virtually absent in terms of regional cooperation the last eight years.""",John Eaves,"September 13, 2017",an Atlanta mayoral candidate forum:,Jon Greenberg,"September 28, 2017",FALSE
"""Washington State Legislature votes to change its name because George Washington owned Slaves.""",Bloggers,"September 24, 2017",a website post:,Sophie Kaplan,"September 27, 2017",pants-fire
"""Since 2010, Republicans have won unaffiliated voters in every general election.""",Dallas Woodhouse,"September 13, 2017",,Paul Specht,"September 27, 2017",TRUE
"""So now they take drugs, literally, and they throw it, a hundred pounds of drugs. They throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",Donald Trump,"September 22, 2017",a rally:,Miriam Valverde,"September 27, 2017",TRUE
"North Korea is ""the fifth or fourth most sanctioned nation.""",Cory Gardner,"September 24, 2017",an,John Kruzel,"September 27, 2017",TRUE
"""Missouri Votes to Let Employers Fire People Who Use Birth Control.""",Feministing,"June 21, 2017",a web post:,Emma Diltz,"September 27, 2017",pants-fire
"""The bill that I carried cutting MO’s income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt""",Andrew Koenig,"August 30, 2017",a tweet:,Katelyn Brown,"September 26, 2017",TRUE
"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""",Tom Cotton,"September 17, 2017",an NBC,Miriam Valverde,"September 26, 2017",FALSE
"""12 more hurricanes headed towards U.S.""",Bloggers,"September 21, 2017",a post,Emily Tanaka,"September 25, 2017",pants-fire
"Florida’s coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received D-plus and D ratings, respectively, by the American Society of Civil Engineers in 2016.""",Gwen Graham,"September 18, 2017",an op,Allison Graves,"September 25, 2017",TRUE
"""NFL fines Pittsburgh Steelers $1 million each for skipping national anthem.""",TheLastLineOfDefense.org,"September 24, 2017",a headl,Joshua Gillin,"September 25, 2017",pants-fire
"""Fox Sports cancels all NFL broadcasts ‘until players respect the flag.’ """,TheLastLineOfDefense.org,"September 24, 2017",a headl,Joshua Gillin,"September 25, 2017",pants-fire
"""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""",Donald Trump,"September 24, 2017",a tweet:,Manuela Tobias,"September 24, 2017",FALSE
"DACA was ""a mere memo from the Department of Homeland security under Barack Obama, which violated the laws.""",Roy Moore,"September 21, 2017",a debate:,Joshua Gillin,"September 22, 2017",half-true
"Alabama is ""the most generous state in the union in terms of what we give to charities.""",Luther Strange,"September 21, 2017",a debate:,Louis Jacobson,"September 22, 2017",half-true
